Actual_DeltaH,Mean_DeltaH,Std_DeltaH,Lower_95,Upper_95,Actual_H,Mean_H
-0.0215957,-0.05084,0.01484,-0.07996,-0.02176,-27.628557,-27.306902
-0.046358064,-0.11993,0.02101,-0.1611,-0.07874,-27.674915,-27.426775
-0.17891957,-0.1448,0.02898,-0.2015,-0.088,-27.853836,-27.57155
-0.06760946,-0.1389,0.02649,-0.1908,-0.08704,-27.921446,-27.710466
-0.1375672,-0.08405,0.01836,-0.12,-0.04807,-28.059011,-27.79445
-0.011081182,-0.0495,0.01735,-0.0835,-0.0155,-28.070093,-27.843767
-0.12043871,-0.00449,0.01689,-0.0376,0.02863,-28.190533,-27.848162
0.08598894,0.0848,0.02414,0.03748,0.1321,-28.104544,-27.7632
0.076543316,0.05844,0.0205,0.01828,0.09863,-28.028,-27.704851
0.064050965,0.0999,0.02106,0.05865,0.1411,-27.96395,-27.604998
0.09532,0.09625,0.02345,0.0503,0.1422,-27.86863,-27.508806
0.05156,-0.01037,0.00826,-0.02655,0.00582,-27.817068,-27.51906
-0.036572903,-0.0353,0.01457,-0.06384,-0.006744,-27.853642,-27.55446
-0.04735484,-0.09406,0.02037,-0.134,-0.05414,-27.900997,-27.648455
-0.11716559,-0.1142,0.02277,-0.1588,-0.0696,-28.018162,-27.762712
-0.1719215,-0.04578,0.0182,-0.0814,-0.0101,-28.190084,-27.80861
0.046501506,-0.02458,0.00869,-0.04163,-0.007553,-28.143581,-27.833025
-0.13411118,-0.047,0.01445,-0.0753,-0.01868,-28.277693,-27.8799
-0.0032580646,0.0326,0.02219,-0.010895,0.07605,-28.28095,-27.847185
-0.012077419,0.00861,0.01566,-0.02206,0.0393,-28.29303,-27.838396
0.053564515,0.0798,0.0212,0.03824,0.12134,-28.239464,-27.758806
0.10326882,0.072,0.0212,0.03049,0.1135,-28.136196,-27.686785
0.056576345,0.082,0.01987,0.04303,0.1209,-28.079618,-27.604753
0.093880326,0.03693,0.01733,0.00296,0.0709,-27.985739,-27.567888
0.0032874194,-0.0436,0.01509,-0.0732,-0.01404,-27.982452,-27.61159
-0.09652258,-0.1024,0.02144,-0.1444,-0.0604,-28.078974,-27.713884
-0.123988174,-0.1484,0.03427,-0.2156,-0.08124,-28.202963,-27.862322
-0.13123764,-0.1339,0.0212,-0.1754,-0.0924,-28.3342,-27.99611
-0.0966557,-0.0723,0.01738,-0.1064,-0.03827,-28.430855,-28.068377
-0.1377056,-0.04822,0.01668,-0.08093,-0.01553,-28.568562,-28.116716
0.11140645,-0.05136,0.01913,-0.08887,-0.013855,-28.457155,-28.167986
0.004165092,0.1259,0.03607,0.05518,0.1965,-28.45299,-28.04201
0.12595426,0.05286,0.0235,0.006805,0.0989,-28.327036,-27.989275
0.06797978,0.1015,0.02655,0.04947,0.1536,-28.259056,-27.887712
0.12221699,0.05157,0.02208,0.0083,0.09485,-28.136839,-27.835955
-0.020290323,-0.01779,0.01207,-0.04144,0.00586,-28.15713,-27.853533
0.017612902,-0.05884,0.0166,-0.0914,-0.0263,-28.139517,-27.912127
-0.10916774,-0.1011,0.02255,-0.1453,-0.0569,-28.248684,-28.0132
-0.10499516,-0.0957,0.02078,-0.1365,-0.05496,-28.35368,-28.108904
-0.12814355,-0.10077,0.01921,-0.1384,-0.0631,-28.481823,-28.20949
-0.05282312,-0.0731,0.01825,-0.1089,-0.03735,-28.534645,-28.282244
-0.032860752,-0.03543,0.01348,-0.06186,-0.009,-28.567507,-28.3174
